"지역별(1)","지역별(2)",구분별(1),구분별(2),2022 3/4,2022 4/4
"서울","소계",임대료 (천원/㎡),소계,51.80,51.90
"서울","소계",공실률 (%),소계,9.10,9.10
"서울","소계",수익률 종합 (%),투자수익률,1.48,0.61
"서울","소계",수익률 종합 (%),소득수익률,0.44,0.67
"서울","소계",수익률 종합 (%),자본수익률,1.05,-0.06
"도심(시내)","소계",임대료 (천원/㎡),소계,82.20,83.00
"도심(시내)","소계",공실률 (%),소계,18.10,18.30
"도심(시내)","소계",수익률 종합 (%),투자수익률,1.35,0.63
"도심(시내)","소계",수익률 종합 (%),소득수익률,0.44,0.67
"도심(시내)","소계",수익률 종합 (%),자본수익률,0.91,-0.05
"도심(시내)","광화문",임대료 (천원/㎡),소계,86.20,86.40
"도심(시내)","광화문",공실률 (%),소계,16.80,17.20
"도심(시내)","광화문",수익률 종합 (%),투자수익률,1.38,0.81
"도심(시내)","광화문",수익률 종합 (%),소득수익률,0.56,0.81
"도심(시내)","광화문",수익률 종합 (%),자본수익률,0.82,0.00
"도심(시내)","남대문",임대료 (천원/㎡),소계,74.20,74.50
"도심(시내)","남대문",공실률 (%),소계,13.60,12.60
"도심(시내)","남대문",수익률 종합 (%),투자수익률,1.75,0.52
"도심(시내)","남대문",수익률 종합 (%),소득수익률,0.44,0.67
"도심(시내)","남대문",수익률 종합 (%),자본수익률,1.30,-0.16
"도심(시내)","동대문",임대료 (천원/㎡),소계,44.80,44.60
"도심(시내)","동대문",공실률 (%),소계,12.10,11.80
"도심(시내)","동대문",수익률 종합 (%),투자수익률,1.17,0.56
"도심(시내)","동대문",수익률 종합 (%),소득수익률,0.54,0.77
"도심(시내)","동대문",수익률 종합 (%),자본수익률,0.63,-0.21
"도심(시내)","명동",임대료 (천원/㎡),소계,181.60,182.00
"도심(시내)","명동",공실률 (%),소계,43.00,43.50
"도심(시내)","명동",수익률 종합 (%),투자수익률,0.36,0.17
"도심(시내)","명동",수익률 종합 (%),소득수익률,0.09,0.31
"도심(시내)","명동",수익률 종합 (%),자본수익률,0.27,-0.13
"도심(시내)","시청",임대료 (천원/㎡),소계,63.70,64.10
"도심(시내)","시청",공실률 (%),소계,17.50,17.50
"도심(시내)","시청",수익률 종합 (%),투자수익률,1.73,0.89
"도심(시내)","시청",수익률 종합 (%),소득수익률,0.56,0.75
"도심(시내)","시청",수익률 종합 (%),자본수익률,1.17,0.13
"도심(시내)","을지로",임대료 (천원/㎡),소계,43.70,51.10
"도심(시내)","을지로",공실률 (%),소계,16.50,15.10
"도심(시내)","을지로",수익률 종합 (%),투자수익률,1.59,0.85
"도심(시내)","을지로",수익률 종합 (%),소득수익률,0.37,0.73
"도심(시내)","을지로",수익률 종합 (%),자본수익률,1.22,0.12
"도심(시내)","종로",임대료 (천원/㎡),소계,78.50,78.30
"도심(시내)","종로",공실률 (%),소계,12.10,13.50
"도심(시내)","종로",수익률 종합 (%),투자수익률,1.71,0.81
"도심(시내)","종로",수익률 종합 (%),소득수익률,0.50,0.73
